"Song","Artist","Title","Quadrant","PQuad","MoodsTotal","Moods","MoodsFoundStr","MoodsStr","MoodsStrSplit","Genres","GenresStr","Sample","SampleURL"
"MT0000004637","Charlie Poole","Bulldog Down in Sunny Tennessee","Q3",0.666666666666667,3,3,"circular; greasy; messy","Circular; Greasy; Messy","Circular; Greasy; Messy",2,"Country; International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=loVS25PIM05eUdu24b4SN_3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000011357","Dismember","Reborn in Blasphemy","Q2",0.666666666666667,3,3,"jittery; negative; nervous","Negative; Nervous/Jittery","Negative; Nervous; Jittery",3,"Electronic; International; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=0W__Y3y7zb5ZuV2QGxUXvGjIb8Tr8vVfGLIuM5x_WSg=&f=I"
"MT0000011975","Curse of the Golden Vampire","Ultrasonic Meltdown","Q2",0.666666666666667,6,5,"fierce; harsh; hostile; menacing; outrageous","Fierce; Harsh; Hostile; Menacing; Outrageous; Unsettling","Fierce; Harsh; Hostile; Menacing; Outrageous; Unsettling",1,"Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=_huCubMvFMeRy_DQMPK8oDqpU4hxl5saPDaNIVORh-E=&f=J"
"MT0000040632","Gipsy Kings","Flamencos en el Aire","Q1",0.75,4,3,"fiery; sexy; spicy","Cathartic; Fiery; Sexy; Spicy","Cathartic; Fiery; Sexy; Spicy",2,"International; Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=GgKequUoOR3mIgcs-UXfh4apJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0000044741","Little Walter","Last Night","Q3",0.75,4,4,"greasy; gritty; gutsy; lazy","Greasy; Gritty; Gutsy; Lazy","Greasy; Gritty; Gutsy; Lazy",1,"Blues",1,"http://rovimusic.rovicorp.com/playback.mp3?c=kd1KbnMm5tKdnT7sv69W6oapJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0000054705","George Shearing","The Masquerade is Over","Q4",0.625,8,7,"bright; elegant; joyous; light; precious; refined; relaxed","Bright; Elegant; Joyous; Light; Precious; Refined; Relaxed; Rollicking","Bright; Elegant; Joyous; Light; Precious; Refined; Relaxed; Rollicking",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=ShwuCSayjCv2W00Erq6DlPKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000082187","The Beach Boys","Little Saint Nick","Q1",0.625,8,8,"cheerful; fun; happy; joyous; light; playful; sweet; whimsical","Cheerful; Fun; Happy; Joyous; Light; Playful; Sweet; Whimsical","Cheerful; Fun; Happy; Joyous; Light; Playful; Sweet; Whimsical",2,"Holiday; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=u6AHNBILS2W-Ipy8mTJlnGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000088320","Concrete Blonde","I Call It Love","Q3",0.666666666666667,3,3,"cynical; detached; sarcastic","Cynical/Sarcastic; Detached","Cynical; Sarcastic; Detached",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=NSrmBWWUNJhi_tjL0az1Hs2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000092267","De La Soul","All Good","Q4",0.529411764705882,17,13,"bittersweet; confident; earnest; melancholy; poignant; reflective; relaxed; romantic; sentimental; slick; smooth; sophisticated; stylish","Bittersweet; Confident; Earnest; Melancholy; Poignant; Reflective; Relaxed; Romantic; Searching; Sentimental; Slick; Smooth; Sophisticated; Street-Smart; Stylish; Wistful; Yearning","Bittersweet; Confident; Earnest; Melancholy; Poignant; Reflective; Relaxed; Romantic; Searching; Sentimental; Slick; Smooth; Sophisticated; Street-Smart; Stylish; Wistful; Yearning",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=EKL-HWEY0dQA4tv2id8fBpjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000133200","Deftones","Rats!Rats!Rats!","Q2",0.538461538461538,13,10,"angry; anxious; bitter; crunchy; harsh; hostile; menacing; ominous; tense; volatile","Angry; Angst-Ridden; Bitter; Crunchy; Harsh; Hostile; Malevolent; Menacing; Nihilistic; Ominous; Tense/Anxious; Volatile","Angry; Angst-Ridden; Bitter; Crunchy; Harsh; Hostile; Malevolent; Menacing; Nihilistic; Ominous; Tense; Anxious; Volatile",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=l-W93i5D1OxPJKkd4I96tvh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0000202045","Bob Marley & the Wailers","Exodus","Q4",0.692307692307692,13,11,"bittersweet; earthy; gentle; mellow; organic; outraged; poignant; provocative; soothing; spiritual; sweet","Bittersweet; Earthy; Gentle; Laid-Back/Mellow; Organic; Outraged; Poignant; Provocative; Soothing; Spiritual; Summery; Sweet","Bittersweet; Earthy; Gentle; Laid-Back; Mellow; Organic; Outraged; Poignant; Provocative; Soothing; Spiritual; Summery; Sweet",1,"Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=5EnxyOTu5KsFMfVzaE1YePQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000203193","Rose Royce","I Wanna Get Next to You","Q4",0.545454545454545,11,9,"agreeable; calm; dreamy; optimistic; peaceful; positive; romantic; sensual; sentimental","Agreeable; Calm/Peaceful; Dreamy; Optimistic; Positive; Pulsing; Romantic; Sensual; Sentimental; Striding","Agreeable; Calm; Peaceful; Dreamy; Optimistic; Positive; Pulsing; Romantic; Sensual; Sentimental; Striding",2,"R&B; Stage & Screen",1,"http://rovimusic.rovicorp.com/playback.mp3?c=KrxUef1bTztd0eR_1YgrFYapJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0000203272","Jah Mason","Plan Out","Q3",0.666666666666667,3,3,"angry; bitter; snide","Angry; Bitter; Snide","Angry; Bitter; Snide",1,"Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=91g2VHGr356IHFaAf9xKqPKUU23ZQzDPVjJ3ONioHGo=&f=I"
"MT0000216849","Rebel Meets Rebel","Get Outta My Life","Q2",0.666666666666667,3,3,"angry; bitter; hostile","Angry; Bitter; Hostile","Angry; Bitter; Hostile",2,"Pop/Rock; Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=BSyv7eK0mpQFh6yXCEt9_ZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000218346","Steven Curtis Chapman","Moment Made for Worshipping","Q4",0.75,4,4,"innocent; joyous; reverent; spiritual","Innocent; Joyous; Reverent; Spiritual","Innocent; Joyous; Reverent; Spiritual",3,"Pop/Rock; Religious; New Age",1,"http://rovimusic.rovicorp.com/playback.mp3?c=GzwIVq43QcSW5CCGdQ6Fg82KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000235880","The ""5"" Royales","Let Me Come Back Home","Q4",0.666666666666667,3,3,"gritty; organic; sweet","Gritty; Organic; Sweet","Gritty; Organic; Sweet",2,"R&B; Blues",1,"http://rovimusic.rovicorp.com/playback.mp3?c=jwWbLCIDWoppAVGX4eJNkvh0BJxFGWncDvRkmPV4knk=&f=I"
"MT0000249842","Stars","Set Yourself On Fire","Q1",0.666666666666667,3,3,"detached; theatrical; witty","Detached; Theatrical; Witty","Detached; Theatrical; Witty",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=2Rq9tXL1DtRaHD0pPI2vX_3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000255724","Danny Elfman","Signal Fire","Q3",0.666666666666667,6,4,"bleak; brooding; cerebral; melancholy","Angst-Ridden; Bleak; Brooding; Cerebral; Literate; Melancholy","Angst-Ridden; Bleak; Brooding; Cerebral; Literate; Melancholy",2,"Pop/Rock; Stage & Screen",1,"http://rovimusic.rovicorp.com/playback.mp3?c=r57aD_kCQvdr5WZgaV8Zcf3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000299291","Client","Heartland","Q3",0.75,4,3,"bleak; cold; gloomy","Bleak; Cold; Gloomy; Somber","Bleak; Cold; Gloomy; Somber",2,"Electronic; Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=sdS4ssKOw9jwxt2kBJrS8pjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000300896","Charlie Poole & the North Carolina Ramblers","Jealous Mary","Q3",0.666666666666667,3,3,"circular; greasy; messy","Circular; Greasy; Messy","Circular; Greasy; Messy",3,"Folk; Country; International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=xOrpPowSQeWbQx5v3vfndzqpU4hxl5saPDaNIVORh-E=&f=J"
